subjectID,prolificID,studyID,sessionID,DEBUG,trialIdx,trialSubmitTS,trialType,scaleID,scaleCategory,scaleText,scaleTextMin,scaleTextMax,comprehensionCheck,comprehensionCheckRequestedResponse,sliderStart,response,rt,timeElapsed
c1b3u1ydqp,66ccdb313b58971824e9244c,678f3deb09bb611973ef0351,6792750de74ce48af3be2a64,0,1,1737652262391,scale,3,demographic,How would you describe your political views?,Very conservative,Very liberal,0,,50,10,3787,504762
c1b3u1ydqp,66ccdb313b58971824e9244c,678f3deb09bb611973ef0351,6792750de74ce48af3be2a64,0,2,1737652267085,scale,23,personality,"I see myself as someone who...is depressed, blue",Strongly disagree,Strongly agree,0,,50,65,4692,509456
c1b3u1ydqp,66ccdb313b58971824e9244c,678f3deb09bb611973ef0351,6792750de74ce48af3be2a64,0,3,1737652269840,scale,44,personality,I see myself as someone who...is inventive,Strongly disagree,Strongly agree,0,,50,64,2753,512210
c1b3u1ydqp,66ccdb313b58971824e9244c,678f3deb09bb611973ef0351,6792750de74ce48af3be2a64,0,4,1737652273523,scale,19,face processing,I see myself as someone who...is responsible,Strongly disagree,Strongly agree,0,,50,80,3682,515894
c1b3u1ydqp,66ccdb313b58971824e9244c,678f3deb09bb611973ef0351,6792750de74ce48af3be2a64,0,6,1737652431380,scale,25,personality,I see myself as someone who...is reserved,Strongly disagree,Strongly agree,0,,50,88,18117,673750
c1b3u1ydqp,66ccdb313b58971824e9244c,678f3deb09bb611973ef0351,6792750de74ce48af3be2a64,0,7,1737652476231,scale,16,face processing,I see myself as someone who...is confident,Strongly disagree,Strongly agree,0,,50,87,44849,718602
c1b3u1ydqp,66ccdb313b58971824e9244c,678f3deb09bb611973ef0351,6792750de74ce48af3be2a64,0,8,1737652479735,scale,37,personality,I see myself as someone who...tends to be disorganized,Strongly disagree,Strongly agree,0,,50,39,3502,722106
c1b3u1ydqp,66ccdb313b58971824e9244c,678f3deb09bb611973ef0351,6792750de74ce48af3be2a64,0,9,1737652482608,scale,49,personality,"I see myself as someone who...values artistic, aesthetic experiences",Strongly disagree,Strongly agree,0,,50,84,2870,724979
c1b3u1ydqp,66ccdb313b58971824e9244c,678f3deb09bb611973ef0351,6792750de74ce48af3be2a64,0,10,1737652486362,scale,58,personality,I see myself as someone who...gets nervous easily,Strongly disagree,Strongly agree,0,,50,34,3753,728733
c1b3u1ydqp,66ccdb313b58971824e9244c,678f3deb09bb611973ef0351,6792750de74ce48af3be2a64,0,11,1737652516845,scale,62,personality,I see myself as someone who...is easily distracted,Strongly disagree,Strongly agree,0,,50,18,30482,759216
c1b3u1ydqp,66ccdb313b58971824e9244c,678f3deb09bb611973ef0351,6792750de74ce48af3be2a64,0,12,1737652519903,scale,35,personality,I see myself as someone who...generates a lot of enthusiasm,Strongly disagree,Strongly agree,0,,50,74,3055,762274
c1b3u1ydqp,66ccdb313b58971824e9244c,678f3deb09bb611973ef0351,6792750de74ce48af3be2a64,0,13,1737652522865,scale,31,personality,I see myself as someone who...starts quarrels with others,Strongly disagree,Strongly agree,0,,50,36,2961,765236
c1b3u1ydqp,66ccdb313b58971824e9244c,678f3deb09bb611973ef0351,6792750de74ce48af3be2a64,0,14,1737652525569,scale,30,personality,I see myself as someone who...is full of energy,Strongly disagree,Strongly agree,0,,50,90,2702,767940
c1b3u1ydqp,66ccdb313b58971824e9244c,678f3deb09bb611973ef0351,6792750de74ce48af3be2a64,0,15,1737652529085,scale,11,face processing,I see myself as someone who...is mean,Strongly disagree,Strongly agree,0,,50,82,3515,771456
c1b3u1ydqp,66ccdb313b58971824e9244c,678f3deb09bb611973ef0351,6792750de74ce48af3be2a64,0,16,1737652558871,scale,4,demographic,How important would you say religion is in your own life?,Not very important,Very important,0,,50,88,29784,801242
c1b3u1ydqp,66ccdb313b58971824e9244c,678f3deb09bb611973ef0351,6792750de74ce48af3be2a64,0,17,1737652562006,scale,14,face processing,I see myself as someone who...is weird,Strongly disagree,Strongly agree,0,,50,48,3133,804377
c1b3u1ydqp,66ccdb313b58971824e9244c,678f3deb09bb611973ef0351,6792750de74ce48af3be2a64,0,18,1737652564792,scale,15,face processing,I see myself as someone who...is intelligent,Strongly disagree,Strongly agree,0,,50,88,2784,807163
c1b3u1ydqp,66ccdb313b58971824e9244c,678f3deb09bb611973ef0351,6792750de74ce48af3be2a64,0,19,1737652570728,scale,12,face processing,I see myself as someone who...is boring,Strongly disagree,Strongly agree,0,,50,29,5935,813099
c1b3u1ydqp,66ccdb313b58971824e9244c,678f3deb09bb611973ef0351,6792750de74ce48af3be2a64,0,20,1737652573451,scale,55,personality,"I see myself as someone who...is outgoing, sociable",Strongly disagree,Strongly agree,0,,50,88,2721,815822
c1b3u1ydqp,66ccdb313b58971824e9244c,678f3deb09bb611973ef0351,6792750de74ce48af3be2a64,0,21,1737652576283,scale,51,personality,I see myself as someone who...is considerate and kind to almost everyone,Strongly disagree,Strongly agree,0,,50,59,2830,818654
c1b3u1ydqp,66ccdb313b58971824e9244c,678f3deb09bb611973ef0351,6792750de74ce48af3be2a64,0,23,1737652708413,scale,6,face processing,I see myself as someone who...is dominant,Strongly disagree,Strongly agree,0,,50,45,2842,950784
c1b3u1ydqp,66ccdb313b58971824e9244c,678f3deb09bb611973ef0351,6792750de74ce48af3be2a64,0,24,1737652710619,scale,50,personality,"I see myself as someone who...is sometimes shy, inhibited",Strongly disagree,Strongly agree,0,,50,48,2205,952990
c1b3u1ydqp,66ccdb313b58971824e9244c,678f3deb09bb611973ef0351,6792750de74ce48af3be2a64,0,25,1737652714685,scale,2,demographic,I consider myself as:,Not at all masculine,Totally masculine,0,,50,100,4065,957056
c1b3u1ydqp,66ccdb313b58971824e9244c,678f3deb09bb611973ef0351,6792750de74ce48af3be2a64,0,27,1737652847149,scale,29,personality,I see myself as someone who...is curious about many different things,Strongly disagree,Strongly agree,0,,50,80,3913,1089520
c1b3u1ydqp,66ccdb313b58971824e9244c,678f3deb09bb611973ef0351,6792750de74ce48af3be2a64,0,28,1737652908313,scale,26,personality,I see myself as someone who...is helpful and unselfish with others,Strongly disagree,Strongly agree,0,,50,65,61163,1150684
