subjectID,prolificID,studyID,sessionID,DEBUG,trialIdx,trialSubmitTS,trialType,questionID,questionCategory,questionText,response,rt,timeElapsed
c1b3u1ydqp,66ccdb313b58971824e9244c,678f3deb09bb611973ef0351,6792750de74ce48af3be2a64,0,5,1737652413260,question,51,personal,"Do you think people can change fundamental things about who they are? If so, what kinds of things? If not, why not?","Yes, I believe people can change fundamental aspects of who they are, through it often requires a deep desire for growth, sustained effort, and the right circumstances. ",139734,655631
c1b3u1ydqp,66ccdb313b58971824e9244c,678f3deb09bb611973ef0351,6792750de74ce48af3be2a64,0,22,1737652705569,question,83,personal,Is there something about you that you struggle to admit to yourself or confront? Why?,"yes, I think everyone, including myself, has aspects struggle to admit or confornt about themselves. for me, it's sometimes difficult to fully knowledge my own limitations or failures, especially in areas where I feel I should excel.",129284,947940
c1b3u1ydqp,66ccdb313b58971824e9244c,678f3deb09bb611973ef0351,6792750de74ce48af3be2a64,0,26,1737652843234,question,140,small talk,"If you could invent a new flavor of ice cream, what would it be?","If I could invent a new flavour of ice cream, I would create creamy base icecream.",128549,1085605
c1b3u1ydqp,66ccdb313b58971824e9244c,678f3deb09bb611973ef0351,6792750de74ce48af3be2a64,0,29,1737653047702,question,164,small talk,What is the last concert or performance you saw? Had you seen the band or performer before? Where?,"The last concert I attended was a performance by the lumineers during their tour in support of their latest album it was my first time seeing them live, and the show was held at an outdoor amphitheater, which created an incredible atmosphere with the open sky and a warm breeze. ",139388,1290073
c1b3u1ydqp,66ccdb313b58971824e9244c,678f3deb09bb611973ef0351,6792750de74ce48af3be2a64,0,37,1737653196837,question,213,small talk,Do you enjoy staying in hotels? What do you like or not like about them?,"I enjoy staying in hotels, primarily because they offer a break from everyday routines and a sense of novelty. I love the feeling of walking into a clean, well organized space that's been prepared jus for me. ",123962,1439208
c1b3u1ydqp,66ccdb313b58971824e9244c,678f3deb09bb611973ef0351,6792750de74ce48af3be2a64,0,63,1737653448058,question,41,personal,"If you were given the chance to relive any day in your life, do you know which day it would be? What happened?","If I were given the chance to relive any day in my life, it would be my anniversary day. that  day was filled with so much   love, joy, and celebration and everything felt beautifully surreal.",174127,1690429
53a7trj0ux,5cdd4befd3651c001950e539,678f3deb09bb611973ef0351,67927436a039c0132dd9fd3c,0,11,1737651547430,question,51,personal,"Do you think people can change fundamental things about who they are? If so, what kinds of things? If not, why not?","I think generally the kind of person you are is set by your own personality. You can make efforts to be different and to a limited extent you may be able to do this but most people 'slip' back into their old ways, it's just the way we are wired I guess.",131023,286751
53a7trj0ux,5cdd4befd3651c001950e539,678f3deb09bb611973ef0351,67927436a039c0132dd9fd3c,0,18,1737651730265,question,111,personal,What would your past self think of your current self? Would you say a lot has changed regarding how you think about the world and what you believe in?,"I don't think I have changed much, my thoughts and beliefs are the same as they always were I think. My choices in life may not have been what I thought they would be in terms of the life I life eg finances, choice of partner.",145173,469587
53a7trj0ux,5cdd4befd3651c001950e539,678f3deb09bb611973ef0351,67927436a039c0132dd9fd3c,0,42,1737651970072,question,213,small talk,Do you enjoy staying in hotels? What do you like or not like about them?,"I love staying in hotels, I like being somewhere new, I like a nice room with a nice bathroom, a little luxury.",121401,709395
53a7trj0ux,5cdd4befd3651c001950e539,678f3deb09bb611973ef0351,67927436a039c0132dd9fd3c,0,51,1737652193826,question,65,personal,What seemingly ordinary moment in your life turned out to be a major turning point?,"When i met my husband, he is not my type at all, we have very little common interests and the younger me would never have pursued a relationship with him. Meeting him helped me to be more understanding and helped me to realise that as long as you are a good person, the rest isn't that important.",180252,933149
53a7trj0ux,5cdd4befd3651c001950e539,678f3deb09bb611973ef0351,67927436a039c0132dd9fd3c,0,52,1737652316651,question,192,small talk,What is the best pair of shoes you own or have owned? What makes them awesome?,"When I was younger I bought a pair of leather thigh high, high heeled boots. They were expensive back then and I couldn't really afford them, I saved up and bought them and they made me feel glamorous. ",122822,1055974
53a7trj0ux,5cdd4befd3651c001950e539,678f3deb09bb611973ef0351,67927436a039c0132dd9fd3c,0,61,1737652484886,question,164,small talk,What is the last concert or performance you saw? Had you seen the band or performer before? Where?,"I went to see an Eminem tribute act on Friday at my local music venue. It is a small place, it doesn't have bi acts but it's a good night out. The act was really good, I had not seen him before. I wen with my grown up son, it was a great night.",129761,1224209
rjwdrr4qa4,58064d91f25c440001678a10,678f3deb09bb611973ef0351,6792746d8de5d2be176d6b63,0,8,1737651511451,question,234,small talk,Describe the weather where you are currently. Is this unusual weather for this time of year?,"The weather is fairly typical for this time of year. It's been in the 50's during the day and around freezing at night. We missed the big snow that hit south of us a few days ago. Where I live the weather in January can range in the 60's to sub-freezing, it's always variable depending on the weather patterns. Currently, the sky is blue and it's a lovely winter's day.",121685,192402
rjwdrr4qa4,58064d91f25c440001678a10,678f3deb09bb611973ef0351,6792746d8de5d2be176d6b63,0,21,1737651678970,question,65,personal,What seemingly ordinary moment in your life turned out to be a major turning point?,"I was working for someone at a summer job when I was a teenager. I had no plans to make that kind of work my career but a meeting with a supervisor changed my mind. He noticed, and I agreed, that I really had a knack and drive to do that kind of work and it made me think to make it something I wanted to continue doing.",124897,359921
rjwdrr4qa4,58064d91f25c440001678a10,678f3deb09bb611973ef0351,6792746d8de5d2be176d6b63,0,30,1737651822571,question,192,small talk,What is the best pair of shoes you own or have owned? What makes them awesome?,"I have a pair of hiking shoes, trail runners, that I wear all the time. I used to wear hiking boots for the most part, but I was recommended these trail-runners and they've been great. Comfortable over long hikes and just as sturdy as boots. They've added quite a lot of enjoyment to my hikes.",120721,503522
rjwdrr4qa4,58064d91f25c440001678a10,678f3deb09bb611973ef0351,6792746d8de5d2be176d6b63,0,34,1737651954057,question,41,personal,"If you were given the chance to relive any day in your life, do you know which day it would be? What happened?","People have asked me this question before, but I always say no, I wouldn't. I can't pick one day. I've had so many wonderful days. Also, I'm future oriented, I look forward to new things while treasuring past experiences. So, no I don't know which day to pick.",122596,635008
