subjectID,prolificID,studyID,sessionID,DEBUG,age,demographicSubmitTS,gender,race,technicalIssues,feedbackSubmitTS,feedback
ovmd9aypzn,6082c902e76a87571f42e73e,675cbe11adb7edc5a4d1feca,67699d07f6daae6e1a643689,0,37,1734975663168,Female,White,no,1734975672958,
401y2hcyte,6765a8758e1a310fcc0dd9bd,675cbe11adb7edc5a4d1feca,6769b262c9e189f44da6fa1c,0,35,1734983650785,Female,White,no,1734983656506,no
2brlgcdxkl,66edfefac3a39cc9aa52668a,675cbe11adb7edc5a4d1feca,6769b261353c261380cd8c6c,0,59,1734980992537,Female,White,No I did not.,1734981010183,
8m6166uo1u,673f6cafb1e5fb4499387cae,675cbe11adb7edc5a4d1feca,6769b23cf42b7454637b3afe,0,27,1734980776692,Female,Asian,N/A,1734980910545,"I think after each question, it would be good to show people all their responses and offer them a box to write their rationale. This is because I feel like some of my answers might seem odd but I have a reason behind them - e.g. asking someone how they do their laundry to me is very personal as it has the potential to reveal their economic situation which I feel can be very personal. So getting a chance to write down rationale I believe would provide valuable qualitative data for the researchers. "
0z3znkauv5,558acd52fdf99b65685f03d9,675cbe11adb7edc5a4d1feca,67745b46ea9a49a64066377d,0,33,1735680160946,Female,Black,no,1735680180650,no
sofp2jb0vh,66d7586af25d8f19f78fe62a,675cbe11adb7edc5a4d1feca,6769b21f5a18c7727463dfa1,0,25,1734980594013,Male,Black,,1734980647835,
f5cebaun9m,5a08c9a7f2e3460001edb063,675cbe11adb7edc5a4d1feca,6769b25fdaa828312e3e7d08,0,28,1734981342872,Female,White,,1734981344245,
5taaxwp8za,605776c7ffd8cb64476fc73f,675cbe11adb7edc5a4d1feca,67745b25a27970e0fcd674f7,0,42,1735679840126,Female,White,None,1735679853698,None
h87o7lj2w6,662d57d09714cf1c25756326,675cbe11adb7edc5a4d1feca,67745b45d1812df5793486bd,0,48,1735679241715,Male,White,None,1735679249567,None at this time. 
podm1cl0s9,645906dc264ac9eb66b7f3ec,675cbe11adb7edc5a4d1feca,67745b4aa16a7086a77eaa6c,0,50,1735679107531,Female,White,n/a,1735679116208,n/a
43x4y7fcvj,6683df32c21487204a0b9905,675cbe11adb7edc5a4d1feca,67699d782c75f8063f90a1b8,0,46,1734976059935,Female,Black,no,1734976079811,no
eeaq675fy9,5cd063ce657e300016f6c95a,675cbe11adb7edc5a4d1feca,67742161dadbbddbd767a8c1,0,33,1735666583959,Non-binary,Mixed race,,1735666625887,"Just wanted to say I liked this study! I think the format was good, and the questions were very thought-provoking. I have the urge to go ask people some of these questions now! Thanks for letting me participate!"
csha2gjc8v,5d8b66f5d189bd001a378273,675cbe11adb7edc5a4d1feca,6774215d0eceb8ccbc6ba80e,0,46,1735665043488,Female,White,No,1735665068994,No everything was perfect
rfelnd79aq,675ff99a4bf03b67e8a31e40,675cbe11adb7edc5a4d1feca,6769b23edaa828312e3e7cf3,0,23,1734981720476,Male,Black,,1734981736260,
l2erz2nj4s,664212577c09653c94741aab,675cbe11adb7edc5a4d1feca,6769b25c48bd309aee9007e5,0,52,1734981347268,Female,White,No,1734981355203,
jofqrex31r,674ec67fc4434b39e440d90f,675cbe11adb7edc5a4d1feca,67742158d6aea0bb5d3ecd30,0,25,1735664472617,Female,Black,NONE,1735664480234,NONE
